order,Name,IMDBCharNum,num.of.movies,movie.rank,Schl.1948,Schl..1962,M-B.1982,CT1982,Siena1982,Siena.1990,Siena.1994,R-McI.1996,Schl..1996,C-SPAN1999,WSJ2000,Siena.2002,WSJ2005,Times2008,C-SPAN.2009,Siena.2010,USPC.2011,APSA.2015,Aggr.[23],height.rank,last.name.rank
1,George Washington,ch0028228,98,2,2,2,3,3,4,4,4,3,2,3,1,4,1,2,2,4,3,2,3,4,1
2,John Adams,ch0028247,21,14,9,10,9,14,10,14,12,14,11,16,13,12,13,13,17,17,12,15,12,39,31
3,Thomas Jefferson,ch0028253,46,8,5,5,4,5,2,3,5,4,4,7,4,5,4,4,7,5,4,5,4,3,3
4,James Madison,ch0028258,14,19,14,12,14,17,9,8,9,10,17,18,15,9,17,15,20,6,14,13,14,43,14
5,James Monroe,ch0028801,7,23,12,18,15,16,15,11,15,13,15,14,16,8,16,21,14,7,13,16,16,12,22
6,John Quincy Adams,ch0028804,3,33,11,13,16,19,17,16,17,18,18,19,20,17,25,16,19,19,20,22,21,38,31
7,Andrew Jackson,ch0028812,27,12,6,6,7,6,13,9,11,8,5,13,6,13,10,14,13,14,9,9,8,9,14
8,Martin Van Buren,ch0029431,5,25,15,17,20,18,21,21,22,21,21,30,23,24,27,40,31,23,27,25,24,41,31
9,William Henry Harrison,ch0029433,5,26,,,,38,26,35,28,35,,37,,36,,39,39,35,,39,39,34,7
10,John Tyler,ch0029434,2,37,22,25,28,29,34,33,34,34,32,36,34,37,35,31,35,37,37,36,37,12,31
11,James K. Polk,ch0029438,5,27,10,8,12,11,12,13,14,11,9,12,10,11,9,9,12,12,16,19,10,34,39
12,Zachary Taylor,ch0029444,6,24,25,24,27,28,29,34,33,29,29,28,31,34,33,28,29,33,33,33,35,34,22
13,Millard Fillmore,ch0029446,3,34,24,26,29,31,32,32,35,36,31,35,35,38,36,33,37,38,35,37,38,31,7
14,Franklin Pierce,ch0029450,5,28,27,28,31,35,35,36,37,37,33,39,37,39,38,41,40,40,39,40,41,26,22
15,James Buchanan,ch0029451,0,41,26,29,33,36,37,38,39,40,38,41,39,41,40,42,42,42,40,43,43,12,7
16,Abraham Lincoln,ch0026778,192,1,1,1,1,1,3,2,2,1,1,1,2,2,2,1,1,3,2,1,1,1,14
17,Andrew Johnson,ch0029454,5,29,19,23,32,32,38,39,40,39,37,40,36,42,37,24,41,43,36,41,40,26,14
18,Ulysses Simpson Grant,ch0029461,53,4,28,30,35,30,36,37,38,38,34,33,32,35,29,18,23,26,29,28,36,34,31
19,Rutherford B. Hayes,ch0029463,2,38,13,14,22,22,22,23,24,25,23,26,22,27,24,27,33,31,30,30,25,33,31
20,James Abram Garfield,NA,0,42,,,,33,25,30,26,30,,29,,33,,34,28,27,,31,31,12,7
21,Chester A. Arthur,ch0029467,1,40,17,21,26,24,24,26,27,28,26,32,26,30,26,22,32,25,32,32,28,4,22
22,Grover Cleveland,ch0029481,10,20,8,11,17,13,18,17,19,16,13,17,12,20,12,19,21,20,21,23,18,23,3
23,Benjamin Harrison,ch0029485,2,39,21,20,23,25,31,29,30,31,19,31,27,32,30,30,30,34,34,29,29,41,7
25,William McKinley,ch0029487,5,30,18,15,18,10,19,19,18,17,16,15,14,19,14,17,16,21,17,21,19,39,7
26,Theodore Roosevelt,ch0027501,42,10,7,7,5,4,5,5,3,5,6,4,5,3,5,5,4,2,5,4,5,26,3
27,William Howard Taft,ch0029496,4,31,16,16,19,20,20,20,21,20,22,24,19,21,20,29,24,24,25,20,23,19,39
28,Woodrow Wilson,ch0364175,21,15,4,4,6,7,6,6,6,6,7,6,11,6,11,10,9,8,6,10,7,23,22
29,Warren G. Harding,ch0029499,0,43,29,31,36,37,39,40,41,41,39,38,37,40,39,35,38,41,38,42,42,12,14
30,Calvin Coolidge,ch0029501,3,35,23,27,30,27,30,31,36,33,30,27,25,29,23,26,26,29,28,27,30,26,7
31,Herbert Hoover,ch0029504,4,32,20,19,21,21,27,28,29,24,35,34,29,31,31,36,34,36,26,38,32,19,22
32,Franklin D. Roosevelt,ch0027854,43,9,3,3,2,2,1,1,1,2,3,2,3,1,3,3,3,1,1,3,2,4,3
33,Harry S Truman,ch0029505,21,16,,9,8,8,7,7,7,7,8,5,7,7,7,7,5,9,7,6,6,31,22
34,Dwight D. Eisenhower,ch0028261,18,18,,22,11,9,11,12,8,9,10,9,9,10,8,6,8,10,10,7,9,25,1
35,John F. Kennedy,ch0027408,49,6,,,13,14,8,10,10,15,12,8,18,14,15,11,6,11,15,14,11,12,14
36,Lyndon B. Johnson,ch0027829,19,17,,,10,12,14,15,13,12,14,10,17,15,18,12,11,16,11,12,13,2,14
37,Richard Nixon,ch0027234,47,7,,,34,34,28,25,23,32,36,25,33,26,32,38,27,30,23,34,33,19,31
38,Gerald Ford,ch0028267,3,36,,,24,23,23,27,32,27,28,23,28,28,28,25,22,28,24,24,26,12,39
39,Jimmy Carter,ch0028816,9,22,,,25,26,33,24,25,19,27,22,30,25,34,32,25,32,18,26,27,30,22
40,Ronald Reagan,ch0026832,25,13,,,,,16,22,20,26,25,11,8,16,6,8,10,18,8,11,15,9,22
41,George Herbert Walker Bush,ch0029517,10,21,,,,,,18,31,22,24,20,21,22,21,20,18,22,22,17,22,4,39
42,Bill Clinton,ch0027318,28,11,,,,,,,16,23,20,21,24,18,22,23,15,13,19,8,20,4,14
43,George W. Bush,ch0027163,52,5,,,,,,,,,,,,23,19,37,36,39,31,35,34,19,39
44,Barack Obama,ch0085075,54,3,,,,,,,,,,,,,,,,15,,18,17,9,31
,Hillary Clinton,ch0027557,14,,,,,,,,,,,,,,,,,,,,,,
,Donald Trump,ch0053843,14,,,,,,,,,,,,,,,,,,,,,,
